path,path_length,fidelity_rate,loss
"[(7, 8), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (7, 1)]",8,3.90625,83.59375
"[(6, 7), (6, 6), (6, 5), (6, 4), (6, 3), (6, 2), (6, 1), (6, 0)]",8,5.078125,83.59375
"[(0, 1), (1, 1), (1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)]",10,4.6875,87.5
"[(9, 4), (8, 4), (8, 5), (7, 5), (6, 5), (5, 5), (4, 5), (3, 5), (2, 5)]",9,4.296875,85.9375
"[(2, 2), (3, 2), (3, 3), (4, 3), (4, 4), (5, 4), (5, 5), (6, 5), (7, 5)]",9,3.125,85.9375
"[(0, 3), (1, 3), (2, 3), (3, 3), (4, 3), (5, 3)]",6,8.203125,75.0
"[(2, 6), (3, 6), (3, 5), (4, 5), (4, 4), (5, 4), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3)]",11,2.34375,89.0625
"[(6, 6), (7, 6), (7, 7), (8, 7), (8, 8), (9, 8)]",6,8.59375,75.0
"[(8, 6), (7, 6), (7, 5), (6, 5), (6, 4), (5, 4), (5, 3), (4, 3), (3, 3)]",9,2.34375,85.9375
"[(7, 0), (6, 0), (6, 1), (5, 1), (5, 2), (4, 2), (4, 3), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9)]",14,1.953125,91.796875
"[(4, 3), (3, 3), (3, 4), (3, 5), (3, 6)]",5,7.8125,66.796875
"[(2, 9), (3, 9), (3, 8), (4, 8), (4, 7), (5, 7), (5, 6), (6, 6), (6, 5), (7, 5), (8, 5)]",11,3.125,89.0625
"[(0, 4), (1, 4), (1, 3)]",3,27.734375,0.0
"[(8, 6), (8, 5), (8, 4), (8, 3), (8, 2)]",5,9.765625,66.796875
"[(6, 2), (5, 2), (5, 3), (4, 3), (4, 4), (3, 4), (2, 4), (1, 4), (0, 4)]",9,3.125,85.9375
"[(8, 1), (7, 1), (7, 2), (6, 2), (6, 3), (5, 3)]",6,6.640625,75.0
"[(7, 6), (6, 6), (6, 5), (5, 5), (5, 4), (4, 4)]",6,5.859375,75.0
"[(4, 6), (5, 6), (5, 5), (5, 4), (5, 3), (5, 2), (5, 1)]",7,4.296875,80.078125
"[(8, 4), (9, 4), (9, 3), (9, 2), (9, 1)]",5,6.640625,66.796875
